symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
MU,"Micron Technology, Inc.",1035.5,1167768551424,48.77532,9.848733,20.092716,96.96,1046.97,569.3834,343.2948,48068530,0.06,1.919
KLAC,KLA Corporation,1940.04,253422616576,54.943073,38.91383,19.35017,756.34,2060.08,1740.789,1354.0171,988536,0.47,1.501
LRCX,Lam Research Corporation,317.12,396581076992,59.833958,39.92783,18.29093,81.95,333.33,265.3696,193.9246,9787450,0.33,1.819
AMAT,"Applied Materials, Inc.",458.17,363768414208,43.1016,28.335133,12.533366,154.47,463.88,399.2684,293.89566,6730017,0.46,1.654
AVGO,Broadcom Inc.,459.97,2177805320192,89.31456,24.802351,31.894281,241.11,466.05,388.5014,353.05814,23945855,0.57,1.44
ETN,"Eaton Corporation, PLC",400.08,155351056384,39.22353,25.447662,5.4467096,311.92,435.43,394.3298,365.21155,2670052,1.1,1.24
GEV,GE Vernova Inc.,950.54,255429099520,27.77732,38.779205,6.487088,458.646,1181.95,1002.438,749.9124,2537155,0.21,1.313
CEG,Constellation Energy Corporatio,265.7,95968198656,23.10435,19.502321,3.213185,243.3,412.7,291.4992,322.9155,3210898,0.64,1.155
285A.T,KIOXIA HOLDINGS CORPORATION,77540.0,42343520534528,76.94369,,18.113884,1950.0,77540.0,38388.5,18089.676,35490860,,
000660.KS,SK hynix,2360000.0,1675257630949376,,6.173221,12.683292,216500.0,2407000.0,1381900.0,795207.5,4950445,0.13,2.027
005930.KS,SamsungElec,360500.0,2367246118682624,,6.4567804,6.095826,56800.0,370000.0,234449.0,148623.75,30525176,0.43,1.327
SMH,VanEck Semiconductor ETF,607.81,,50.0208,,,242.35,613.43,488.9882,390.28586,9709160,0.22,
SOXX,iShares PHLX SOX Semiconductor ,571.93,,52.49666,,,206.71,584.5,442.2646,337.86926,7826666,0.36,
DRAM,Roundhill Memory ETF,68.0,,54.092087,,,26.14,68.76,44.096584,44.096584,23269934,,
EWY,iShares MSCI South Korea ETF,216.7,,28.438229,,,61.68,217.76,158.74,114.6542,22578698,1.29,
6857.T,ADVANTEST CORP,26320.0,19092161429504,51.256084,110.71384,16.916527,7163.0,32400.0,26251.0,21269.85,9856965,0.23,1.199
6324.T,HARMONIC DRIVE SYSTEMS,7110.0,673080868864,415.3037,93.93579,11.301457,2316.0,8400.0,5245.6,3799.295,1770620,0.26,0.934
6268.T,NABTESCO CORP,5449.0,638538481664,43.901062,50.509827,1.9960253,2293.0,6113.0,4931.06,4082.015,1146726,1.48,0.986
6481.T,THK CO LTD,7482.0,838536200192,83.15181,38.24176,3.2844357,3761.0,7899.0,6040.12,4744.475,1092433,2.37,0.716
6954.T,FANUC CORPORATION,7593.0,7085472874496,42.51638,43.862286,8.259754,3650.0,8880.0,6799.46,5779.135,6443420,1.33,0.919
