symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
VRT,"Vertiv Holdings, LLC",358.92,137864331264,90.18091,41.673683,12.714124,92.13,359.84,281.5918,195.21895,7957818,0.07,2.099
GLW,Corning Incorporated,181.57,156266020864,86.8756,44.917168,9.574537,44.83,195.81,150.2604,101.96435,12634813,0.62,1.136
MRVL,"Marvell Technology, Inc.",172.15,150537977856,56.258167,31.67474,18.370388,56.69,175.8,115.2146,89.8513,22829918,0.14,2.251
COHR,Coherent Corp.,344.67,64619372544,334.6311,44.01393,10.266295,67.5,364.8,283.779,182.03455,7350267,,2.053
SNDK,Sandisk Corporation,1409.98,208803594240,48.072964,8.392683,15.837651,33.13,1439.7,805.2406,372.73358,18153373,,
ALAB,"Astera Labs, Inc.",213.91,36665872384,144.53378,49.626484,36.613003,69.26,262.9,145.6044,164.3782,5554367,,3.363
CRDO,Credo Technology Group Holding ,198.29,36574576640,108.95055,35.949715,34.241436,49.05,213.8,131.6952,138.32753,7209998,,3.176
ENTG,"Entegris, Inc.",155.86,23737477120,90.09248,33.844643,7.3370247,66.32,159.15,129.534,102.41415,2695336,0.26,1.395
MP,MP Materials Corp.,72.65,12907540480,,57.042133,46.858643,18.64,100.251,58.6398,63.09395,5499744,,1.913
ONTO,Onto Innovation Inc.,294.05,14627095552,136.76743,30.957289,14.192727,85.88,316.0,237.1266,168.97604,918563,,
NET,"Cloudflare, Inc.",248.59,87845257216,,172.42958,40.520206,121.455,260.0,204.3556,203.78955,4548924,,1.673
IBM,International Business Machines,225.74,212169719808,19.959328,16.778978,3.0788949,220.72,324.9,242.6696,271.9451,6320136,2.99,0.581
CAMT,Camtek Ltd.,202.54,9427954688,196.64078,46.45594,19.005215,62.88,210.2,171.4828,127.22845,460167,,1.625
PLAB,"Photronics, Inc.",52.09,3071559424,22.260685,22.072035,3.5623765,16.59,53.0,42.0908,30.6454,973163,,1.507
ACLS,"Axcelis Technologies, Inc.",171.0,5254824960,45.0,37.898937,6.2628417,55.93,171.61,105.9282,90.034,860506,,1.923
KLIC,"Kulicke and Soffa Industries, I",93.78,4907752448,,28.62052,7.1376977,30.97,95.28,73.351,52.2958,653663,0.87,1.67
FORM,"FormFactor, Inc.",149.12,11624614912,173.39534,54.310177,13.842437,26.08,159.09,113.0788,66.5787,1601934,,1.325
VECO,Veeco Instruments Inc.,62.01,3784686336,163.1842,27.774542,5.775123,18.31,65.43,38.4468,30.9579,1318416,,1.36
ACMR,"ACM Research, Inc.",55.38,3666979584,40.42336,24.289474,4.0685043,19.76,71.65,48.5941,41.767975,1221485,,1.821
LITE,Lumentum Holdings Inc.,944.28,73464987648,166.53969,52.328392,29.522984,63.98,1021.0,780.2856,392.03357,6223719,,1.533
MKSI,MKS Inc.,293.77,19777093632,61.329853,24.04362,5.0310593,73.21,298.0,249.8308,176.9544,1331213,0.34,1.974
AEHR,Aehr Test Systems,96.73,3042473472,,644.86664,67.22955,8.17,102.48,58.197,33.1692,2801118,,3.271
IONQ,"IonQ, Inc.",52.57,19620278272,,-58.647655,150.90665,25.89,84.64,36.7234,46.581,25822777,,3.052
RGTI,"Rigetti Computing, Inc.",20.09,6676822016,,-110.92706,941.98956,9.3,58.15,16.4642,22.8831,28390798,,1.801
QBTS,D-Wave Quantum Inc.,23.83,8827261952,,-64.4054,359.0215,7.71,46.75,17.7868,22.7265,26212716,,1.945
MU,"Micron Technology, Inc.",666.59,751736258560,31.457764,6.549187,12.934432,83.36,667.67,437.9866,284.72876,41929322,0.09,1.919
KLAC,KLA Corporation,1816.29,237257457664,51.540577,36.613644,18.115873,692.8,1939.36,1605.9772,1272.9364,968288,0.42,1.501
LRCX,Lam Research Corporation,297.17,371632209920,56.175808,37.554943,17.14025,74.65,297.87,239.132,176.8858,9987114,0.35,1.819
AMAT,"Applied Materials, Inc.",428.62,340157038592,44.051388,30.461384,12.056321,153.47,432.81,371.5268,272.61804,6724349,0.49,1.654
AVGO,Broadcom Inc.,425.44,2014317248512,82.60971,23.481686,29.499975,203.69,437.68,355.092,342.14426,24171709,0.61,1.44
ETN,"Eaton Corporation, PLC",421.39,163625746432,41.15137,27.04986,5.736826,304.22,435.43,381.9384,363.3016,2628611,1.04,1.24
GEV,GE Vernova Inc.,1118.96,300686934016,32.679905,45.6958,7.6364937,387.03,1181.95,937.93,716.5708,2510486,0.13,1.313
CEG,Constellation Energy Corporatio,322.78,116941471744,43.677944,23.757511,4.5800133,243.3,412.7,302.6382,327.17032,3182322,0.53,1.155
285A.T,KIOXIA HOLDINGS CORPORATION,43410.0,23661492830208,150.9178,,14.0685625,1892.0,43410.0,26412.3,13425.115,33898137,,
000660.KS,SK hynix,1654000.0,1172178447892480,,4.4757934,8.874515,186800.0,1665000.0,1042800.0,651217.5,4407211,0.19,2.027
005930.KS,SamsungElec,271500.0,1782821999869952,,6.667405,4.5901,53700.0,277000.0,201269.0,129811.25,29267326,0.56,1.327
SMH,VanEck Semiconductor ETF,549.76,,45.243473,,,220.1,549.88,429.1892,366.23276,8983109,0.22,
SOXX,iShares PHLX SOX Semiconductor ,506.87,,46.52489,,,190.47,506.94,377.351,313.29086,7299522,0.36,
DRAM,Roundhill Memory ETF,48.68,,38.72357,,,26.14,48.99,36.25125,36.25125,12067979,,
EWY,iShares MSCI South Korea ETF,181.98,,18.727615,,,57.19,182.21,140.2088,104.7588,22606257,1.29,
