symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
ETN,"Eaton Corporation, PLC",407.28,158146822144,39.851273,25.814009,5.544731,311.92,436.74,405.564,372.184,2588288,1.08,1.181
GEV,GE Vernova Inc.,1091.57,293326684160,31.945274,44.365494,7.449567,530.16,1195.94,1038.7262,806.3082,2793091,0.18,0.935
CEG,Constellation Energy Corporatio,251.38,89768304640,21.84014,18.506918,3.0056016,228.63,412.7,273.1912,314.8119,3655085,0.68,1.121
285A.T,KIOXIA HOLDINGS CORPORATION,69030.0,37776149970944,68.434616,,16.160034,2270.0,112700.0,71105.2,29977.34,36711950,,
000660.KS,SK hynix,1900000.0,1348724286554112,,4.239438,10.211124,245000.0,2987000.0,2143040.0,1088692.5,5355752,0.14,2.027
005930.KS,SamsungElec,259500.0,1704023174414336,,3.9861858,4.38798,61800.0,374500.0,303340.0,183531.75,30006587,0.52,1.479
SMH,VanEck Semiconductor ETF,611.03,,39.55601,,,279.19,671.83,590.2032,433.2532,10582564,0.17,
SOXX,iShares PHLX SOX Semiconductor ,581.34,,41.096756,,,232.33,655.95,558.2276,384.0606,9261614,0.23,
DRAM,Roundhill Memory ETF,63.04,,28.387836,,,26.14,81.34,60.071,53.20838,40452040,,
EWY,iShares MSCI South Korea ETF,183.52,,18.140429,,,70.36,220.89,190.1876,130.9743,19282135,1.01,
6857.T,ADVANTEST CORP,28830.0,20896379043840,55.865597,121.27203,18.515146,9744.0,35940.0,28525.2,23760.05,9287914,0.2,1.186
6324.T,HARMONIC DRIVE SYSTEMS,7150.0,676867538944,412.3414,94.46426,11.365038,2316.0,9150.0,7159.0,4507.115,1970962,0.25,1.062
6268.T,NABTESCO CORP,5105.0,598226960384,41.24919,47.3211,1.8700144,2602.5,6113.0,5319.44,4379.025,1286303,1.51,0.974
6481.T,THK CO LTD,7300.0,818138775552,81.156204,37.311527,3.204542,3761.0,8244.0,7316.0,5249.32,1040511,2.39,0.768
6954.T,FANUC CORPORATION,6934.0,6470517129216,38.915707,40.055454,7.542881,3699.0,8880.0,7480.6,6217.21,6961009,1.5,0.945
NFLX,"Netflix, Inc.",73.37,308946305024,23.667744,19.115583,6.588747,70.86,127.75,82.409,94.940315,42226948,,1.517
LYV,"Live Nation Entertainment, Inc.",179.79,41839431680,,82.87583,1.6335667,125.34,188.0,169.5158,154.4716,2723735,,1.107
DIS,Walt Disney Company (The),95.62,166045237248,15.2992,12.775532,1.7071778,92.19,123.4,101.4696,105.88085,9643720,1.57,1.398
TKO,"TKO Group Holdings, Inc.",184.4,35243687936,68.55018,39.553665,6.9607167,152.29,226.94,196.0108,197.76135,1474243,1.69,0.621
PLTR,Palantir Technologies Inc.,126.79,303955181568,142.46068,60.535313,58.182438,106.37,207.52,133.2523,156.80315,43778872,,1.562
SKHY,SK Hynix Inc. American Depositary Shares,,,,,,166.19,177.0,168.01,168.01,106123032,,
ESLOY,EssilorLuxottica,97.79,89886924800,34.4331,21.862286,3.1549234,91.57,186.81,100.7752,139.01205,128720,2.37,0.554
SONY,Sony Group Corporation,20.85,122428276736,19.669813,17.521008,0.009810257,19.32,30.34,21.105,23.9675,6521746,0.76,0.744
